,ticker,date,open,high,low,close,volume,dividend,split,adj_close,sma,rsi,slowd,slowk,roc,willr,std,mom,adx,obv,atr,cci,macd,trix,next_close,direction
35,SPY,2010-08-27,105.8900,106.9700,104.3100,106.8600,272308220,0.0000,1.0000,87.3276,108.0250,42.9508,25.5591,37.9134,-5.4253,-70.4258,2.7624999999999957,-6.1300,22.6787,1507030522.0000,1.8389,-88.8971,-0.9939,-0.0708,105.3100,-1
36,SPY,2010-08-30,106.5800,106.9100,105.3000,105.3100,166871252,0.0000,1.0000,86.0610,107.5200,38.0668,33.0949,40.0230,-6.2912,-84.0625,2.2790999999999997,-7.0700,23.7210,1340159270.0000,1.8225,-85.8628,-1.0977,-0.0893,105.3100,0
37,SPY,2010-08-31,104.9200,105.9800,104.4900,105.3100,273616262,0.0000,1.0000,86.0610,107.2350,38.0668,41.1084,45.3887,-3.6505,-83.2787,2.2993999999999986,-3.9900,25.0045,1340159270.0000,1.7988,-96.4901,-1.1665,-0.1063,108.4600,1
38,SPY,2010-09-01,106.7300,108.6100,106.6600,108.4600,267563260,0.0000,1.0000,88.6352,107.2229,51.1571,47.6518,57.5437,-0.1565,-31.6393,2.283700000000003,-0.1700,24.1961,1607722530.0000,1.9060,35.2452,-0.9558,-0.1145,109.4700,1
39,SPY,2010-09-02,108.7200,109.4900,108.4900,109.4700,155921532,0.0000,1.0000,89.4606,107.3057,54.4794,60.3314,78.0617,1.0710,-15.0820,2.412799999999997,1.1600,22.9057,1763644062.0000,1.8434,91.9091,-0.6993,-0.1139,110.8900,1
40,SPY,2010-09-03,110.5400,110.9900,109.9500,110.8900,212125752,0.0000,1.0000,90.6210,107.4936,58.7297,77.9337,98.1957,2.4293,-1.4925,2.7677499999999995,2.6300,21.6562,1975769814.0000,1.8203,137.3519,-0.3771,-0.1045,109.6400,-1
41,SPY,2010-09-07,110.3700,110.5100,109.5500,109.6400,141821257,0.0000,1.0000,89.5995,107.4971,53.9539,89.5643,92.4354,0.0456,-20.1493,2.7738999999999976,0.0500,20.2679,1833948557.0000,1.7860,104.4044,-0.2201,-0.0920,110.4100,1
42,SPY,2010-09-08,109.8600,110.8500,109.8100,110.4100,149907549,0.0000,1.0000,90.2288,107.5414,56.3107,92.9101,88.0991,0.5647,-8.6567,2.8651000000000053,0.6200,19.1672,1983856106.0000,1.7449,118.2980,-0.0331,-0.0764,110.9200,1
43,SPY,2010-09-09,111.6500,111.6800,110.6200,110.9200,146442924,0.0000,1.0000,90.6455,107.7586,57.8496,87.0683,80.6705,2.8179,-10.2842,3.1494,3.0400,18.5951,2130299030.0000,1.7110,123.0720,0.1544,-0.0581,111.4800,1
44,SPY,2010-09-10,111.1200,111.6100,110.8700,111.4800,127752166,0.0000,1.0000,91.1032,108.0407,59.5350,84.4111,84.4637,3.6734,-2.7064,3.457900000000002,3.9500,18.0639,2258051196.0000,1.6416,107.3159,0.3443,-0.0376,112.7200,1
