,ticker,date,open,high,low,close,volume,dividend,split,adj_close,sma,rsi,slowd,slowk,roc,willr,std,next_close,direction
62,KO,12/6/2016,40.75,40.77,40.42,40.57,11303492,0,1,36.1315,40.9743,40.9078,27.5862,40.8419,-2.0994,-63.8743,0.7033,41.29,1
63,MCO,12/6/2016,97.29,97.45,96.08,96.91,1286914,0,1,93.3519,99.7286,33.0308,14.1167,16.0991,-2.397,-86.1204,2.6389,97.9,1
64,SPY,12/6/2016,221.22,221.7441,220.662,221.7,59877377,0,1,206.0253,220.145,66.1846,39.5032,61.5481,1.5668,-2.7273,1.6062,224.6,1
65,USB,12/6/2016,50.53,50.77,50.23,50.73,9259103,0,1,45.5852,49.4257,74.6804,80.2715,82.2175,4.1684,-1.2579,1.0944,51.36,1
66,WFC,12/6/2016,54.45,55.57,54.22,55.55,30706669,0,1,48.9578,52.8779,72.6149,86.5087,88.1439,5.6284,-0.4338,1.69315,57.28,1
67,AAPL,12/7/2016,109.26,111.19,109.16,111.03,29998719,0,1,105.5178,110.685,50.6432,35.2703,53.1226,0.9455,-34.0451,1.35235,112.12,1
68,AMZN,12/7/2016,764.55,770.42,755.82,770.42,3684906,0,1,770.42,764.3379,50.7218,56.9,85.7044,3.2057,-39.4614,20.19285,767.33,-1
69,AXP,12/7/2016,72.47,74.72,72.23,74.29,5801483,0,1,70.0761,72.1757,71.6934,54.485,66.3907,3.6412,-10.8861,1.15775,74.91,1
70,BAC,12/7/2016,22.19,22.57,21.95,22.57,168005152,0,1,21.0499,20.9386,80.9735,85.7988,98.0276,14.2785,0,1.1874,22.95,1
71,BK,12/7/2016,48.18,48.55,47.89,48.55,9183534,0,1,44.972,47.6286,69.194,59.5987,64.1736,3.1881,-6.5574,0.6929,49.17,1
72,JPM,12/7/2016,83.55,84.09,82.85,84.07,18996905,0,1,75.8893,80.13,82.8691,94.2639,98.6289,8.6176,-0.2941,3.3095,85.12,1
73,KO,12/7/2016,40.54,41.29,40.51,41.29,13726520,0,1,36.7727,40.9764,50.2663,45.0396,65.7982,0.0727,-26.178,0.7054,40.98,-1
74,MCO,12/7/2016,97.18,98.44,96.43,97.9,2022207,0,1,94.3055,99.6729,39.0059,16.4258,20.1215,-0.7904,-69.5652,2.7051,98.07,1
75,SPY,12/7/2016,221.52,224.67,221.38,224.6,110738050,0,1,208.7202,220.6257,73.3204,61.4488,87.842,3.089,-1.037,2.10185,225.15,1
76,USB,12/7/2016,50.74,51.4,50.49,51.36,9558952,0,1,46.1513,49.675,77.3125,84.6532,92.6961,7.2906,-1.1696,1.127,51.9,1
77,WFC,12/7/2016,55.55,57.29,55.23,57.28,46616968,0,1,50.4825,53.2779,76.7289,90.9273,97.6971,10.8359,-0.158,2.32175,57.29,1
78,AAPL,12/8/2016,110.86,112.43,110.6,112.12,27068316,0,1,106.5537,110.84,54.9652,53.7115,76.7265,1.9736,-8.1851,1.4209,113.95,1
79,AMZN,12/8/2016,771.87,773.79,765.19,767.33,3189608,0,1,767.33,765.1186,49.4974,77.1868,90.4742,1.445,-45.009,19.9422,768.66,1
80,AXP,12/8/2016,74.8,75.2,73.99,74.91,3415750,0,1,70.6609,72.3993,73.571,65.6244,81.6365,4.3605,-6.5463,1.5506,74.77,-1
81,BAC,12/8/2016,22.79,23.24,22.69,22.95,182492861,0,1,21.4043,21.1436,82.4906,92.5656,95.6456,14.2928,-8.6053,1.3591,23.09,1
82,BK,12/8/2016,48.64,49.54,48.37,49.17,6025546,0,1,45.5463,47.7407,72.2184,62.0132,72.6352,3.2983,-13.7037,0.913,48.62,-1
83,JPM,12/8/2016,84.23,85.5,83.94,85.12,20837878,0,1,76.8371,80.6371,84.4992,96.0722,96.0793,9.1002,-4.6285,3.696,85.49,1
84,KO,12/8/2016,41.07,41.21,40.845,40.98,13069049,0,1,36.4967,40.9664,46.8276,60.4457,74.697,-0.3405,-42.4084,0.7029,42,1
85,MCO,12/8/2016,97.8,98.62,97.28,98.07,1150050,0,1,94.4693,99.4493,39.996,25.9014,41.4837,-3.0929,-66.7224,2.6913,99.77,1
86,SPY,12/8/2016,224.57,225.7,224.26,225.15,99714387,0,1,209.2314,221.0657,74.4228,81.5408,95.2324,2.8129,-7.4224,2.6157,226.51,1
87,USB,12/8/2016,51.56,52.29,51.56,51.9,10423462,0,1,46.6365,49.905,79.2989,89.2864,92.9456,6.6146,-10.7438,1.33705,52.04,1
88,WFC,12/8/2016,57.29,58.02,56.71,57.29,39817816,0,1,50.4913,53.6207,76.7506,93.464,94.551,9.1446,-11.0106,2.75925,57.14,-1
89,AAPL,12/9/2016,112.31,114.7,112.31,113.95,34402627,0,1,108.2929,111.1179,61.1207,73.8957,91.8379,3.5344,-11.6279,1.8171,113.3,-1
90,AMZN,12/9/2016,770,770.25,765.34,768.66,2470923,0,1,768.66,765.7257,50.0562,88.3313,88.8153,1.1182,-42.6212,19.87275,760.12,-1
91,AXP,12/9/2016,74.84,74.91,74.29,74.77,2566883,0,1,70.5288,72.6686,72.4032,78.8804,88.614,5.3099,-9.9307,1.68215,73.58,-1
92,BAC,12/9/2016,22.95,23.17,22.78,23.09,130590406,0,1,21.5348,21.3643,83.0275,95.5033,92.8367,15.45,-4.644,1.4616,22.61,-1
93,BK,12/9/2016,48.97,49.02,48.335,48.62,6458336,0,1,45.0368,47.825,66.0258,70.4112,74.4249,2.4874,-34.0741,0.96295,48.22,-1
94,JPM,12/9/2016,85.02,85.5,84.14,85.49,14567202,0,1,77.1711,81.1929,85.0394,97.219,96.9487,10.0116,-0.1218,3.92085,84.73,-1
95,KO,12/9/2016,41.5,42.22,41.29,42,28125775,0,1,37.4051,41.0443,57.202,75.7539,86.7666,2.6644,-9.4017,0.8072,41.9,-1
96,MCO,12/9/2016,97.99,100.1899,97.74,99.77,956354,0,1,96.1069,99.3929,48.9242,42.7967,66.7849,-0.7856,-38.2943,2.656,98.27,-1
97,SPY,12/9/2016,225.41,226.53,225.37,226.51,88005766,0,1,210.4952,221.6379,76.9581,93.2319,96.6214,3.6659,-0.2656,3.13225,226.25,-1
98,USB,12/9/2016,51.9,52.075,51.59,52.04,8612883,0,1,46.7623,50.1057,79.7929,91.8713,89.9723,5.7079,-7.0922,1.53505,51.58,-1
99,WFC,12/9/2016,56.91,57.24,56.49,57.14,20331186,0,1,50.3591,53.9293,75.6095,93.3116,87.6866,8.1787,-13.273,3.0474,55.78,-1
100,AAPL,12/12/2016,113.29,115,112.49,113.3,26374377,0,1,107.6752,111.23,58.0839,84.171,83.9487,1.4052,-25.1852,1.99465,115.19,1
101,AMZN,12/12/2016,766.4,766.89,757.2,760.12,2963945,0,1,760.12,764.3057,46.4984,80.9159,63.4582,-2.5487,-57.9533,19.04455,774.34,1
